salary_id,job_id,pay_period,currency,compensation_type,standardized_max_salary,standardized_min_salary,standardized_med_salary,currency_encoded,compensation_type_encoded
34334,3902346456,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34335,3902341732,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34336,3902345417,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34337,3902345402,HOURLY,USD,BASE_SALARY,56160.0,52000.0,56160.0,5,0
34338,3902344457,YEARLY,USD,BASE_SALARY,90000.0,83000.0,83000.0,5,0
34339,3902345428,YEARLY,USD,BASE_SALARY,90000.0,80000.0,80000.0,5,0
34340,3905828593,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34341,3904091379,HOURLY,USD,BASE_SALARY,61360.0,50960.0,61360.0,5,0
34342,3905831291,HOURLY,USD,BASE_SALARY,71718.4,71718.4,71718.4,5,0
34343,3905827394,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34344,3902346335,HOURLY,USD,BASE_SALARY,52000.0,47840.0,52000.0,5,0
34345,3905828615,YEARLY,USD,BASE_SALARY,170000.0,140000.0,140000.0,5,0
34346,3904086596,YEARLY,USD,BASE_SALARY,180000.0,140000.0,140000.0,5,0
34347,3904092366,YEARLY,USD,BASE_SALARY,60000.0,50000.0,60000.0,5,0
34348,3902347364,YEARLY,USD,BASE_SALARY,120000.0,105000.0,105000.0,5,0
34349,3902342727,HOURLY,USD,BASE_SALARY,37440.0,37440.0,37440.0,5,0
34350,3902340900,HOURLY,USD,BASE_SALARY,187200.0,176800.0,176800.0,5,0
34351,3902344572,HOURLY,USD,BASE_SALARY,54080.0,52000.0,54080.0,5,0
34352,3905829610,HOURLY,USD,BASE_SALARY,72800.0,58240.0,63918.309907429066,5,0
34353,3905834028,YEARLY,USD,BASE_SALARY,65000.0,60000.0,63918.309907429066,5,0
34354,3905828715,YEARLY,USD,BASE_SALARY,110000.0,90000.0,90000.0,5,0
34355,3905832303,YEARLY,USD,BASE_SALARY,150000.0,130000.0,130000.0,5,0
34356,3902343513,YEARLY,USD,BASE_SALARY,75000.0,55000.0,63918.309907429066,5,0
34357,3902341880,HOURLY,USD,BASE_SALARY,49920.0,45760.0,49920.0,5,0
34358,3905833222,YEARLY,USD,BASE_SALARY,165000.0,145000.0,145000.0,5,0
34359,3904086694,HOURLY,USD,BASE_SALARY,135200.0,124800.0,124800.0,5,0
34360,3905834045,HOURLY,USD,BASE_SALARY,72800.0,58240.0,63918.309907429066,5,0
34361,3902345538,YEARLY,USD,BASE_SALARY,75000.0,70000.0,70000.0,5,0
34362,3902345562,YEARLY,USD,BASE_SALARY,170000.0,140000.0,140000.0,5,0
34363,3905834104,YEARLY,USD,BASE_SALARY,66000.0,53000.0,63918.309907429066,5,0
34364,3905827807,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34365,3904088803,YEARLY,USD,BASE_SALARY,130000.0,120000.0,120000.0,5,0
34366,3904087812,YEARLY,USD,BASE_SALARY,80000.0,60000.0,63918.309907429066,5,0
34367,3905832377,HOURLY,USD,BASE_SALARY,83200.0,62400.0,63918.309907429066,5,0
34368,3905828734,YEARLY,USD,BASE_SALARY,190000.0,160000.0,160000.0,5,0
34369,3904093466,YEARLY,USD,BASE_SALARY,95000.0,85000.0,85000.0,5,0
34370,3902342760,YEARLY,USD,BASE_SALARY,210000.0,165000.0,165000.0,5,0
34371,3905828780,HOURLY,USD,BASE_SALARY,47840.0,41600.0,47840.0,5,0
34372,3902346615,HOURLY,USD,BASE_SALARY,83200.0,52000.0,63918.309907429066,5,0
34373,3904088905,YEARLY,USD,BASE_SALARY,105000.0,100000.0,100000.0,5,0
34374,3905831442,YEARLY,USD,BASE_SALARY,65000.0,55000.0,63918.309907429066,5,0
34375,3905829697,YEARLY,USD,BASE_SALARY,72193.0,48175.0,63918.309907429066,5,0
34376,3905832382,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34377,3904091630,YEARLY,USD,BASE_SALARY,60000.0,50000.0,60000.0,5,0
34378,3905830787,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34379,3905830504,HOURLY,USD,BASE_SALARY,129168.0,80912.0,80912.0,5,0
34380,3905825885,HOURLY,USD,BASE_SALARY,116896.0,73112.0,73112.0,5,0
34381,3905834125,YEARLY,USD,BASE_SALARY,90000.0,80000.0,80000.0,5,0
34382,3904090897,YEARLY,USD,BASE_SALARY,100000.0,85000.0,85000.0,5,0
34383,3902346758,YEARLY,USD,BASE_SALARY,190000.0,130000.0,130000.0,5,0
34384,3904089931,YEARLY,USD,BASE_SALARY,170000.0,130000.0,130000.0,5,0
34385,3905832194,YEARLY,USD,BASE_SALARY,157400.0,98600.0,98600.0,5,0
