company_id,employee_count,follower_count,time_recorded
12977708,154,8830,2024-04-11 18:11:49
306049,2185,39467,2024-04-11 18:11:49
52047,1545,30298,2024-04-11 18:11:49
19107,4335,21489,2024-04-11 18:11:49
969396,448,58293,2024-04-11 18:11:49
18019992,46,22993,2024-04-11 18:11:49
23720119,19,233,2024-04-11 18:11:49
74310498,8,388,2024-04-11 18:11:49
15564,68358,11953292,2024-04-11 18:11:49
103083507,1008,127897,2024-04-11 18:11:49
2049248,4,44,2024-04-11 18:11:49
14070878,256,51942,2024-04-11 18:11:49
7277,9107,142938,2024-04-11 18:11:49
90555868,9,4335,2024-04-11 18:11:49
27116821,401,7833,2024-04-11 18:11:49
35482712,59,2950,2024-04-11 18:11:49
110701,54,128588,2024-04-11 18:11:49
5714,5648,133367,2024-04-11 18:11:49
89493362,3,615,2024-04-11 18:11:49
3066202,689,8655,2024-04-11 18:11:49
572850,178,2143,2024-04-11 18:11:49
1346678,33,9730,2024-04-11 18:11:49
1321873,40,4440,2024-04-11 18:11:49
71001459,115,18653,2024-04-11 18:11:49
2261227,243,48389,2024-04-11 18:11:49
147847,426,23570,2024-04-11 18:12:18
68889,5423,319489,2024-04-11 18:12:18
82233798,722,269151,2024-04-11 18:12:18
7792665,5,88,2024-04-11 18:12:18
77733045,101,1916,2024-04-11 18:12:18
1230481,453,26491,2024-04-11 18:12:18
9285384,35,1977,2024-04-11 18:12:18
79292042,28,2270,2024-04-11 18:12:18
22592,978,25608,2024-04-11 18:12:18
18860134,3662,2528441,2024-04-11 18:12:18
3966490,26,18899,2024-04-11 18:12:18
65588154,1021,225235,2024-04-11 18:12:18
2617452,66,2134,2024-04-11 18:12:18
19098558,151,2782,2024-04-11 18:12:18
18286943,398,33739,2024-04-11 18:12:18
1340634,244,1052,2024-04-11 18:12:18
2012779,131,179612,2024-04-11 18:12:18
1120131,30,262,2024-04-11 18:12:18
590130,457,27205,2024-04-11 18:12:18
236259,440,7885,2024-04-11 18:14:51
3737467,72,1028,2024-04-11 18:14:51
45593,356,33711,2024-04-11 18:14:51
34743066,1,221,2024-04-11 18:14:51
5043387,110,5466,2024-04-11 18:14:51
80878880,37,20409,2024-04-11 18:14:51
9181,4398,98553,2024-04-11 18:14:51
445702,76,2875,2024-04-11 18:14:51
2158708,1680,44563,2024-04-11 18:14:51
2863593,8,1424,2024-04-11 18:14:51
35529155,133,5188,2024-04-11 18:14:51
90420159,3,1313,2024-04-11 18:14:51
23435,2711,42237,2024-04-11 18:14:51
1463,67155,1336739,2024-04-11 18:14:51
15388,2533,98795,2024-04-11 18:14:51
13719,1990,77793,2024-04-11 18:14:51
74814864,5,97,2024-04-11 18:14:51
2809975,39,590,2024-04-11 18:14:51
77215487,35,6815,2024-04-11 18:14:51
3678,18572,184051,2024-04-11 18:14:51
24793330,62,3325,2024-04-11 18:14:51
19825,287,43640,2024-04-11 18:14:51
15208,4102,127106,2024-04-11 18:14:51
2091531,648,49298,2024-04-11 18:14:51
18080432,5,5122,2024-04-11 18:14:51
3224847,11,7020,2024-04-11 18:14:51
165938,10333,55362,2024-04-11 18:14:51
